time,ghi,dni,dhi,temp_air,wind_speed_ms,cloud_cover,poa_global,cell_temperature,panel_efficiency,power_kw
2026-08-21 00:00:00,0.0,0.0,0.0,25.5,2.2777777777777777,55,0.0,25.5,0.21956,0.0
2026-08-21 01:00:00,0.0,0.0,0.0,25.4,1.5555555555555554,67,0.0,25.4,0.21964799999999998,0.0
2026-08-21 02:00:00,0.0,0.0,0.0,24.8,1.0,77,0.0,24.8,0.22017599999999998,0.0
2026-08-21 03:00:00,0.0,0.0,0.0,24.6,1.6944444444444442,66,0.0,24.6,0.22035200000000002,0.0
2026-08-21 04:00:00,0.0,0.0,0.0,24.3,1.5277777777777777,91,0.0,24.3,0.22061599999999998,0.0
2026-08-21 05:00:00,0.0,0.0,0.0,24.6,1.5555555555555554,84,0.0,24.6,0.22035200000000002,0.0
2026-08-21 06:00:00,0.0,0.0,0.0,24.6,2.7777777777777777,55,0.0,24.6,0.22035200000000002,0.0
2026-08-21 07:00:00,60.0,114.8,42.0,24.9,2.0,67,152.89521349523153,29.101181786939524,0.21639096002749322,12.50618368803616
2026-08-21 08:00:00,230.0,315.9,110.0,26.5,1.5277777777777777,98,409.1401798678101,38.10320321694489,0.2084691811690885,32.24079870999723
2026-08-21 09:00:00,347.0,284.6,178.0,27.6,2.0833333333333335,98,421.6349313759988,39.12118117576055,0.2075733605653307,33.08262790295559
2026-08-21 10:00:00,513.0,295.4,285.0,28.7,3.3888888888888884,80,493.0438063709338,41.053748443046864,0.20587270137011876,38.368610397705396
2026-08-21 11:00:00,471.0,170.7,317.0,28.0,3.4722222222222223,41,400.7038787689457,37.98500620559681,0.2085731945390748,31.591761286316046
2026-08-21 12:00:00,686.0,402.9,293.0,29.2,4.472222222222222,52,408.17099902281115,38.72462936706033,0.2079223261569869,32.08005243575148
2026-08-21 13:00:00,745.0,427.6,323.0,29.0,4.611111111111112,80,338.1742182010812,36.82000059822891,0.20959839947355857,26.792932903947726
2026-08-21 14:00:00,628.0,353.8,297.0,29.1,4.833333333333333,29,292.77848345501354,35.77287660378498,0.21051986858866922,23.298290012039867
2026-08-21 15:00:00,667.0,564.6,201.0,29.2,5.083333333333333,54,199.96723613095867,33.68404923854124,0.2123580366700837,16.05163757265687
2026-08-21 16:00:00,419.0,318.1,208.0,28.3,4.555555555555555,94,204.8866315480725,33.0550505420518,0.21291155552299443,16.48939248007383
2026-08-21 17:00:00,179.0,93.3,136.0,28.1,3.9166666666666665,55,133.24847582335707,31.324624689291113,0.21443433027342382,10.800612020445438
2026-08-21 18:00:00,115.0,203.1,68.0,27.5,2.611111111111111,37,66.81646768292345,29.262682451478536,0.21624883944269888,5.461715797811075
2026-08-21 19:00:00,9.0,12.5,8.0,26.9,2.138888888888889,46,7.826616284759487,27.113070803548744,0.2181404976928771,0.6453601452680552
2026-08-21 20:00:00,0.0,0.0,0.0,26.5,2.305555555555556,48,0.0,26.5,0.21868,0.0
2026-08-21 21:00:00,0.0,0.0,0.0,25.9,2.6666666666666665,41,0.0,25.9,0.219208,0.0
2026-08-21 22:00:00,0.0,0.0,0.0,25.1,3.0277777777777777,82,0.0,25.1,0.21991200000000002,0.0
2026-08-21 23:00:00,0.0,0.0,0.0,24.7,2.972222222222222,95,0.0,24.7,0.22026400000000002,0.0
2026-08-22 00:00:00,0.0,0.0,0.0,24.5,2.972222222222222,98,0.0,24.5,0.22044,0.0
2026-08-22 01:00:00,0.0,0.0,0.0,24.1,3.0555555555555554,98,0.0,24.1,0.22079200000000002,0.0
2026-08-22 02:00:00,0.0,0.0,0.0,23.9,2.4722222222222223,99,0.0,23.9,0.220968,0.0
2026-08-22 03:00:00,0.0,0.0,0.0,24.0,2.5555555555555554,100,0.0,24.0,0.22088,0.0
2026-08-22 04:00:00,0.0,0.0,0.0,24.3,3.0,98,0.0,24.3,0.22061599999999998,0.0
2026-08-22 05:00:00,0.0,0.0,0.0,24.1,2.5555555555555554,77,0.0,24.1,0.22079200000000002,0.0
2026-08-22 06:00:00,0.0,0.0,0.0,24.1,2.111111111111111,98,0.0,24.1,0.22079200000000002,0.0
2026-08-22 07:00:00,39.0,25.5,35.0,24.5,2.4166666666666665,82,59.08655070567269,26.07905433229388,0.21905043218758138,4.892429229112295
2026-08-22 08:00:00,175.0,123.9,128.0,25.7,2.111111111111111,98,243.53643805062828,32.34230814838211,0.21353876882942374,19.657690093352198
2026-08-22 09:00:00,243.0,99.4,184.0,26.1,2.5555555555555554,76,266.4039130575953,33.15399792583195,0.21282448182526786,21.43156985652303
2026-08-22 10:00:00,298.0,155.5,178.0,26.4,2.0,100,286.9232268929909,34.28393964412983,0.21183013311316576,22.974456460788502
2026-08-22 11:00:00,283.0,23.3,262.0,26.5,2.305555555555556,95,268.4747856317259,33.72813556176894,0.21231924070564334,21.546893075628724
2026-08-22 12:00:00,577.0,298.5,286.0,28.2,3.8333333333333335,99,369.60026331501194,37.1934840699282,0.2092697340184632,29.236844245298702
2026-08-22 13:00:00,488.0,121.7,368.0,27.7,2.6666666666666665,88,365.96736695095035,37.318991258623434,0.20915928769241138,28.934189092668433
2026-08-22 14:00:00,519.0,180.8,350.0,27.8,3.75,90,343.3586498640482,36.200870633969394,0.21014323384210692,27.27439988493432
2026-08-22 15:00:00,543.0,423.6,194.0,28.2,3.944444444444444,97,192.2435475803896,32.84382859726327,0.21309743083440832,15.485377099704131
2026-08-22 16:00:00,403.0,240.4,244.0,26.8,4.055555555555555,92,239.6804839637907,32.54763359479772,0.213358082436578,19.330076476362468
2026-08-22 17:00:00,190.0,102.5,143.0,26.9,3.1666666666666665,98,140.12032264252713,30.462807041393898,0.21519272980357337,11.397786648092282
2026-08-22 18:00:00,95.0,91.8,74.0,27.0,2.5555555555555554,65,72.48477709724595,28.919294132844893,0.2165510211630965,5.93333464469308
2026-08-22 19:00:00,6.0,0.0,6.0,26.1,2.4444444444444446,63,5.864308396768293,26.256430746723503,0.21889434094288332,0.48522496236344387
2026-08-22 20:00:00,0.0,0.0,0.0,25.6,2.4722222222222223,92,0.0,25.6,0.219472,0.0
